KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:3.5.3.18	H2O	18.0106
cpd:C00001	ec:3.5.3.2	H2O	18.0106
cpd:C00001	ec:3.5.3.20	H2O	18.0106
cpd:C00001	ec:3.5.3.21	H2O	18.0106
cpd:C00001	ec:3.5.3.22	H2O	18.0106
cpd:C00001	ec:3.5.3.23	H2O	18.0106
cpd:C00001	ec:3.5.3.24	H2O	18.0106
cpd:C00001	ec:3.5.3.25	H2O	18.0106
cpd:C00001	ec:3.5.3.26	H2O	18.0106
cpd:C00001	ec:3.6.1.44	H2O	18.0106
cpd:C00001	ec:3.6.1.45	H2O	18.0106
cpd:C00001	ec:3.6.1.5	H2O	18.0106
cpd:C00001	ec:3.5.5.7	H2O	18.0106
cpd:C00001	ec:3.5.5.8	H2O	18.0106
cpd:C00001	ec:3.5.99.1	H2O	18.0106
cpd:C00001	ec:3.5.99.10	H2O	18.0106
cpd:C00001	ec:3.5.99.11	H2O	18.0106
cpd:C00001	ec:3.5.99.2	H2O	18.0106
cpd:C00001	ec:3.5.99.5	H2O	18.0106
cpd:C00001	ec:3.5.99.6	H2O	18.0106
cpd:C00001	ec:3.5.99.7	H2O	18.0106
cpd:C00001	ec:3.5.99.8	H2O	18.0106
cpd:C00001	ec:3.5.99.9	H2O	18.0106
cpd:C00001	ec:3.6.1.1	H2O	18.0106
cpd:C00001	ec:3.6.1.10	H2O	18.0106
cpd:C00001	ec:3.6.1.11	H2O	18.0106
cpd:C00001	ec:3.6.1.12	H2O	18.0106
cpd:C00001	ec:3.6.1.13	H2O	18.0106
cpd:C00001	ec:3.6.1.14	H2O	18.0106
cpd:C00001	ec:3.6.1.15	H2O	18.0106
cpd:C00001	ec:3.6.1.16	H2O	18.0106
cpd:C00001	ec:3.6.1.17	H2O	18.0106
cpd:C00001	ec:3.5.4.3	H2O	18.0106
cpd:C00001	ec:3.5.4.30	H2O	18.0106
cpd:C00001	ec:3.5.4.31	H2O	18.0106
cpd:C00001	ec:3.5.4.32	H2O	18.0106
cpd:C00001	ec:3.5.4.33	H2O	18.0106
cpd:C00001	ec:3.5.4.34	H2O	18.0106
cpd:C00001	ec:3.5.4.35	H2O	18.0106
cpd:C00001	ec:3.5.4.39	H2O	18.0106
cpd:C00001	ec:3.5.4.4	H2O	18.0106
cpd:C00001	ec:3.5.4.40	H2O	18.0106
cpd:C00001	ec:3.5.4.41	H2O	18.0106
cpd:C00001	ec:3.5.4.42	H2O	18.0106
cpd:C00001	ec:3.5.4.43	H2O	18.0106
cpd:C00001	ec:3.5.4.44	H2O	18.0106
cpd:C00001	ec:3.5.4.45	H2O	18.0106
cpd:C00001	ec:3.5.4.46	H2O	18.0106
cpd:C00001	ec:3.5.4.5	H2O	18.0106
cpd:C00001	ec:3.5.2.16	H2O	18.0106
cpd:C00001	ec:3.5.2.17	H2O	18.0106
cpd:C00001	ec:3.5.2.18	H2O	18.0106
cpd:C00001	ec:3.5.1.52	H2O	18.0106
cpd:C00001	ec:3.5.1.53	H2O	18.0106
cpd:C00001	ec:3.5.1.54	H2O	18.0106
cpd:C00001	ec:3.5.1.55	H2O	18.0106
cpd:C00001	ec:3.5.1.56	H2O	18.0106
cpd:C00001	ec:3.5.1.57	H2O	18.0106
cpd:C00001	ec:3.5.1.58	H2O	18.0106
cpd:C00001	ec:3.5.1.59	H2O	18.0106
cpd:C00001	ec:3.5.1.6	H2O	18.0106
cpd:C00001	ec:3.5.1.60	H2O	18.0106
cpd:C00001	ec:3.5.1.61	H2O	18.0106
cpd:C00001	ec:3.5.1.62	H2O	18.0106
cpd:C00001	ec:3.5.1.63	H2O	18.0106
cpd:C00001	ec:3.5.1.64	H2O	18.0106
cpd:C00001	ec:3.5.1.65	H2O	18.0106
cpd:C00001	ec:3.5.1.66	H2O	18.0106
cpd:C00001	ec:3.5.1.67	H2O	18.0106
cpd:C00001	ec:3.5.1.68	H2O	18.0106
cpd:C00001	ec:3.5.1.7	H2O	18.0106
cpd:C00001	ec:3.5.1.71	H2O	18.0106
cpd:C00001	ec:3.5.1.72	H2O	18.0106
cpd:C00001	ec:3.5.1.73	H2O	18.0106
cpd:C00001	ec:3.5.1.74	H2O	18.0106
cpd:C00001	ec:3.5.1.75	H2O	18.0106
cpd:C00001	ec:3.5.1.76	H2O	18.0106
cpd:C00001	ec:3.5.5.2	H2O	18.0106
cpd:C00001	ec:3.5.5.4	H2O	18.0106
cpd:C00001	ec:3.5.5.5	H2O	18.0106
